,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
0,85264981001,CHUWI,Quad Core,14 in,Gray,8 GB,"1 ,  1   1 tb",Intel,3.80 GHz,Notebook/Laptop,2160 x 1440,corebook,windows 11 home,512 gb,SSD,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam",New,No note from seller,$303.68 
2,85264981003,Dell,Intel Core i5-6300U,14 in,Black,16 GB,500 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,500 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",Used,"“Well kept, fully functional, includes battery, AC Adapter and power cord.”",$175.00 
4,85264981005,Dell,Intel Core i5 6th Gen.,"Minimum 12.5""",Unknown,8 GB,256 gb,Integrated,1.40 GHz,Notebook/Laptop,1366 x 768,various,windows 10,Not available,SSD,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Wi-Fi",Good,“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have ...  Read moreabout the seller notes“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have scratches and spots on screen). Please Note Our Images Are An Example Of The Laptop You Will Receive. Model Numbers Will Vary.Windows 10 installed. Comes with charger and power lead.” Read Lessabout the seller notes ,$101.22 
13,85264981014,Chuwi,Intel Celeron Processor N4100,14.1 in,Gray,8 GB,256 gb,Intel,2.80 GHz,Notebook/Laptop,1920 x 1080,chuwi,windows 11 home,256 gb,SSD,Wi-Fi,New,No note from seller,$151.99 
14,85264981015,Chuwi,Intel Core i5-8259U,14 in,Gray,8 GB,512 gb,Intel,3.80 GHz,Notebook/Laptop,2160 x 1440,chuwi,windows 10,512 gb,HDD/SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Wi-Fi",New,No note from seller,$243.99 
17,85264981018,Dell,Intel Celeron,11 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,128 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,"“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will ...  Read moreabout the seller notes“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will show normal signs of use and handling with nothing major, The screen is NOT cracked and the computer is intact, the PC Laptop is fully tested and working normally. A brand new copy of Windows 10 Pro is installed and active. Ready for use out of the box with an Authentic charger” Read Lessabout the seller notes ",$129.99 
18,85264981019,Acer,Intel Celeron N,11.6 in,Gray,4 GB,16 gb,Intel,1.60 GHz,Notebook/Laptop,1366 x 768,acer,Chrome OS,16 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",Used,"“Acer Chromebook C731 in certified excellent, used condition.Displays light to normal signs of wear; ...  Read moreabout the seller notes“Acer Chromebook C731 in certified excellent, used condition.Displays light to normal signs of wear; NO cracks, deep scuffs, or dents.Features 4GB RAM, 16GB SSD, HDMI, Wi-Fi connectivity, and a built-in webcam.Ideal for students, professionals, or casual browsing.” Read Lessabout the seller notes ",$39.99 
22,85264981023,Dell,Intel Core i5 6th Gen.,12.5 in,Black,8 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,"“This dell computer was used before and will show normal signs of use and handling, Everything is ...  Read moreabout the seller notes“This dell computer was used before and will show normal signs of use and handling, Everything is guaranteed to work as it should” Read Lessabout the seller notes ",$199.99 
27,85264981028,HP,Intel Core i5-1135G7,15.6 in,Silver,32 GB,2 tb,Intel,4.2 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,2tb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, USB 3.2, Ethernet, Media card reader, USB-C",New,No note from seller,$439.00 to $629.00
29,85264981030,Dell,Intel Core i5 7th Gen.,15.6 in,Black,16 GB,512 gb,Intel,3.10 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good,"“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has ...  Read moreabout the seller notes“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.” Read Lessabout the seller notes ",$344.99 
30,85264981031,CHUWI,Quad Core,15.6 in,Gray,16 GB,512 gb,Intel,3.4GHz,Notebook/Laptop,1920 x 1080,gemibook,windows 11 home,512 gb,SSD,"Built-in Microphone,  Built-in Webcam,  Bluetooth,  Wi-Fi",New,No note from seller,$241.99 
34,85264981035,Chuwi,Intel Celeron N4100,14.1 in,Gray,8 GB,256 gb,Intel,2.8GHz,Notebook/Laptop,1920 x 1080,chuwi,windows 11 home,256 gb,SSD,"Bluetooth, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Wi-Fi",New,No note from seller,$149.99 
39,85264981040,CHUWI,Intel Celeron N5100,13.5 in,Gray,12 GB,512 gb,Intel,2.80 GHz,Notebook/Laptop,2256 x 1504,chuwi,windows 10 home,12 gb,SSD,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet",New,No note from seller,$269.49 
41,85264981042,Dell,AMD Ryzen 5,15.6 in,Carbon Black,16 GB,512 gb,AMD,4.5 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 home,512 gb,SSD,"Bluetooth, Wi-Fi, MaxxAudio Pro, Media Card Reader, Wi-Fi 5, USB-C 3.2",New,No note from seller,$489.00 
47,85264981048,HP,Intel Celeron,11.6 in,Multi,4 GB,16 gb,Intel,2.4GHz,Notebook/Laptop,1366 x 768,chromebook,Chrome OS,16 gb,eMMC,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Built-in Microphone",Very Good,“1-Year Allstate warranty. The original HP charger is included.”,$84.99 
49,85264981050,HP,Intel Celeron N,11.6 in,Black,4 GB,16 gb,Intel,1.6 GHz,Chromebook,1366 x 768,samsung,Chrome OS,16 gb,eMMC,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Widescreen Display",Used,"“MINT CONDITION, LIKE NEW!  HP Chromebook 11 G5 in stellar condition. Our certified technicians have ...  Read moreabout the seller notes“MINT CONDITION, LIKE NEW!  HP Chromebook 11 G5 in stellar condition. Our certified technicians have meticulously inspected this unit to guarantee 100% functionality. Exhibits minimal signs of handling, with a flawless screen and keyboard. Prepped with a factory reset, this Chromebook is primed to delight right from the package.” Read Lessabout the seller notes ",$69.99 
51,85264981052,Dell,Intel Core i7 6th Gen.,12.5 in,Black,8 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Used,No note from seller,$129.95 
55,85264981056,Dell,i5-7300HQ,15.6 in,Black,8 GB,256 gb,NVIDIA,2.5 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 home,Not available,SSD,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"“Tested/Working. Windows 10, Power Adapter Included. The laptop has frame damage on the backside.”",$199.99 
60,85264981061,Lenovo,Intel Core i5-1135G7,15.6 in,Gray,20 GB,1 tb,Intel,4.20 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,1 tb,SSD,"5G,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  Dual Speakers",New,No note from seller,$599.00 
66,85264981066,HP,Intel Core i5 8th Gen.,14 in,Silver,32 GB,500 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,500 gb,SSD,Wi-Fi,Very Good,No note from seller,$289.99 
74,85264981070,Dell,Intel Core i5 6th Gen.,14 in,Black,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Touchscreen, Wi-Fi",Used,“Great used shape has scratches scuffs and normal wear from use”,$200.00 
78,85264981072,SGIN,Intel Celeron,15.6 in,Silver,12 GB,512 gb,AMD,2.80 GHz,Notebook/Laptop,1920 x 1200,not available,windows 11 home,12 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",New,No note from seller,$225.00 
82,85264981074,Dell,Intel Core i5 10th Gen.,14 in,Gray,16 GB,512 gb,Intel,1.70 GHz,Notebook/Laptop,1920 x 1080,not available,Not Included,512 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",Used,“Good working 10th Gen laptop  - really nice cosmetic condition - wear marks from normal use. AC ...  Read moreabout the seller notes“Good working 10th Gen laptop  - really nice cosmetic condition - wear marks from normal use. AC Adapter (Power Cord) is included!” Read Lessabout the seller notes ,$229.00 
86,85264981076,Lenovo,Intel Core i7 6th Gen.,14.1in.,Black,16 GB,512 gb,Intel,2.60 GHz,Notebook/Laptop,2560 x 1440,lenovo,windows 10 pro,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Multi-Touch Trackpad",Used,No note from seller,$179.99 
100,85264981083,ASUS,Intel Core i3 11th Gen.,15.6 in,Gray,8 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,asus,windows 11 home,256 gb,SSD,"Wi-Fi, Bluetooth, Built-in Webcam, Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard",Not Available,No note from seller,$292.95 
102,85264981085,HP,Intel Core i7 4th Gen.,11.6 in,Silver,8 GB,256 gb,Intel,2.10 GHz,Notebook/Laptop,1366 x 768,hp,windows 10 pro,256 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Used,“Tested/working. Touch Screen/Tablet. Windows 10 Pro. Power adapter included.”,$259.00 
